NORAD ID,Name,International Code,launch date ,Period (minutes),Status,Beacon (MHz),Category,magnitude,PRN,Longitude,SV,isFavourite
42759,ZHUHAI-1 02 (CAS 4B),2017-034B,,95.4,Active,145.91,Amateur radio,,,,,
42736,BEEAGLESAT,1998-067MR,,91.1,Active,,Amateur radio,,,,,
42735,AOXIANG-1,1998-067MQ,,91.4,Active,,Amateur radio,,,,,
42733,SNUSAT-1B,1998-067MN,,90.9,Unknown,,Amateur radio,,,,,
42732,POLYITAN-2-SAU,1998-067MM,,90.5,Active,,Amateur radio,,,,,
42730,SUSAT,1998-067MK,,90.9,Inactive,,Amateur radio,,,,,
42729,AALTO-2,1998-067MJ,,90.6,Inactive,,Amateur radio,,,,,
42728,QBITO,1998-067MH,,90.7,Inactive,,Amateur radio,,,,,
42727,SNUSAT-1,1998-067MG,,91,Active,,Amateur radio,,,,,
42726,NSIGHT-1,1998-067MF,,92,Active,,Amateur radio,,,,,
42725,LILACSAT-1ÊÊCÊ,1998-067ME,,91,Active,,Amateur radio,,,,,
42722,NJUST-1,1998-067MB,,91.4,Active,,Amateur radio,,,,,
42718,HOOPOE,1998-067LZ,,89.5,Active,,Amateur radio,,,,,
42717,SPACECUBEÊÊCÊ,1998-067LY,,90.8,Active,,Amateur radio,,,,,
42715,CSUNSAT1,1998-067LW,,91.2,Inactive,437.4,Amateur radio,,,,,
42713,ZA-AEROSAT,1998-067LU,,91.3,Active,,Amateur radio,,,,,
42708,QBEE50-LTU-OC,1998-067LR,,90.7,Active,,Amateur radio,,,,,
42707,XCUBESATÊÊCÊ,1998-067LQ,,90.5,Active,,Amateur radio,,,,,
42706,PHOENIX,1998-067LP,,91.2,Active,,Amateur radio,,,,,
42704,CXBN-2,1998-067LM,,90.8,Unknown,,Amateur radio,,,,,
42701,SOMP-2,1998-067LJ,,90.9,Inactive,,Amateur radio,,,,,
42700,HAVELSAT,1998-067LH,,90.7,Active,436.845,Amateur radio,,,,,
42017,NAYIF (EO-88)ÊÊCÊ,2017-008BX,,94.4,Active,145.94,Amateur radio,,,,,
41932,ITF-2,1998-067KU,,89.8,Active,437.525,Amateur radio,,,,,
41789,ALSAT 1N,2016-059G,,98.3,Active,,Amateur radio,,,,,
41783,PRATHAM,2016-059A,,98.4,Inactive,145.98,Amateur radio,,,,,
41732,3CAT-2,2016-051B,,94.3,Inactive,,Amateur radio,,,,,
41619,BEESAT-4,2016-040W,,94.6,Active,435.95,Amateur radio,,,,,
41604,BIROS,2016-040F,,94.6,Unknown,,Amateur radio,,,,,
41603,LAPAN A3,2016-040E,,94.8,Non-amateur,,Amateur radio,,,,,
41600,SATHYABAMASAT,2016-040B,,94.6,Inactive,,Amateur radio,,,,,
41558,NUSAT 2 (BATATA)ÊÊCÊ,2016-033C,,94.2,Unknown,145.9,Amateur radio,,,,,
41558,NUSAT 2 (BATATA),2016-033C,,94.2,Active,,Amateur radio,,,,,
41557,NUSAT 1 (FRESCO),2016-033B,,94.3,Active,,Amateur radio,,,,,
41557,NUSAT 1 (FRESCO)ÊÊCÊ,2016-033B,,94.3,Unknown,145.9,Amateur radio,,,,,
41466,SAMSAT 218DÊÊCÊ,2016-026C,,93.5,Inactive,145.87,Amateur radio,,,,,
41465,AIST 2DÊÊCÊ,2016-026B,,93.9,Active,435.315,Amateur radio,,,,,
41465,AIST 2D,2016-026B,,93.9,Active,,Amateur radio,,,,,
41460,AAUSAT-4,2016-025E,,95.6,Active,437.425,Amateur radio,,,,,
41459,E-ST@R-II,2016-025D,,95.7,Active,437.485,Amateur radio,,,,,
41458,OUFTI-1ÊÊCÊ,2016-025C,,95.7,Inactive,145.98,Amateur radio,,,,,
41340,HORYU 4,2016-012D,,95.9,Active,437.375,Amateur radio,,,,,
41339,CHUBUSAT 3ÊÊCÊ,2016-012C,,96,Inactive,437.424,Amateur radio,,,,,
41338,CHUBUSAT 2ÊÊCÊ,2016-012B,,96,Inactive,437.102,Amateur radio,,,,,
41171,VELOX 2,2015-077F,,95.3,Active,145.93,Amateur radio,,,,,
41170,GALASSIAÊÊCÊ,2015-077E,,95.1,Unknown,145.8,Amateur radio,,,,,
41168,ATHENOXAT-1,2015-077C,,95.2,Active,437.485,Amateur radio,,,,,
40969,ARC-1,2015-058F,,-,Inactive,2440.5,Amateur radio,,,,,
40968,BISONSAT,2015-058E,,97.5,Active,,Amateur radio,,,,,
40967,FOX-1A (AO-85)ÊÊCÊ,2015-058D,,97.6,Active,145.98,Amateur radio,,,,,
40958,LQSAT,2015-057A,,97.8,Inactive,437.65,Amateur radio,,,,,
40931,LAPAN A2 (IO-86)ÊÊCÊ,2015-052B,,97.5,Active,437.425,Amateur radio,,,,,
40928,TIANWANG 1A (TW-1A),2015-051D,,93.5,Active,,Amateur radio,,,,,
40927,TIANWANG 1B (TW-1B),2015-051C,,92.9,Inactive,,Amateur radio,,,,,
